pl_name,hostname,hip_name,sy_pnum
"WASP-174 b","WASP-174",,1
"Wolf 503 b","Wolf 503","HIP 67285",1
"K2-264 b","K2-264",,2
"K2-264 c","K2-264",,2
"HD 55696 b","HD 55696","HIP 34801",1
"HD 98736 b","HD 98736","HIP 55486 A",1
"HD 148164 b","HD 148164","HIP 80484",2
"HD 148164 c","HD 148164","HIP 80484",2
"HD 211810 b","HD 211810","HIP 110094",1
"HD 75784 c","HD 75784","HIP 43569",2
"NGTS-2 b","NGTS-2",,1
"EPIC 246851721 b","EPIC 246851721",,1
"K2-266 b","K2-266",,4
"K2-266 c","K2-266",,4
"K2-266 d","K2-266",,4
"K2-266 e","K2-266",,4
"K2-268 b","K2-268",,5
"WASP-144 b","WASP-144",,1
"WASP-145 A b","WASP-145 A",,1
"WASP-158 b","WASP-158",,1
"WASP-159 b","WASP-159",,1
"WASP-162 b","WASP-162",,1
"WASP-168 b","WASP-168",,1
"WASP-172 b","WASP-172",,1
"WASP-173 A b","WASP-173 A",,1
"OGLE-2011-BLG-0173L b","OGLE-2011-BLG-0173L",,1
"WASP-147 b","WASP-147",,1
"WASP-160 B b","WASP-160 B",,1
"WASP-164 b","WASP-164",,1
"WASP-165 b","WASP-165",,1
"OGLE-2013-BLG-1761L b","OGLE-2013-BLG-1761L",,1
"GJ 96 b","GJ 96","HIP 11048",1
"KMT-2016-BLG-1820L b","KMT-2016-BLG-1820L",,1
"KMT-2016-BLG-2142L b","KMT-2016-BLG-2142L",,1
"Kepler-777 b","Kepler-777",,1
"MOA-2015-BLG-337L b","MOA-2015-BLG-337L",,1
"KMT-2016-BLG-1397L b","KMT-2016-BLG-1397L",,1
"pi Men c","HD 39091","HIP 26394",3
"K2-284 b","K2-284",,1
"MOA-2016-BLG-319L b","MOA-2016-BLG-319L",,1
"MOA-2011-BLG-291L b","MOA-2011-BLG-291L",,1
"GJ 317 c","GJ 317",,2
"HD 33142 c","HD 33142","HIP 23844",3
"HD 95089 c","HD 95089","HIP 53666",2
"HD 99706 c","HD 99706","HIP 55994",2
"Kepler-778 b","Kepler-778",,1
"HD 102329 c","HD 102329","HIP 57467",2
"HD 116029 c","HD 116029","HIP 65117",2
"HD 156279 c","HD 156279","HIP 84171",2
"HD 114783 c","HD 114783","HIP 64457",2
"HATS-59 b","HATS-59",,2
"HATS-59 c","HATS-59",,2
"GJ 3779 b","GJ 3779",,1
"GJ 1265 b","GJ 1265",,1
"LHS 1140 c","LHS 1140",,2
"CoRoT-21 b","CoRoT-21",,1
"HD 13167 b","HD 13167","HIP 9960",1
"HD 14787 b","HD 14787","HIP 11130",1
"HD 18015 b","HD 18015","HIP 13467",1
"HD 72490 b","HD 72490","HIP 41997",1
"HD 94834 b","HD 94834","HIP 53545",1
"HD 180053 b","HD 180053","HIP 94465",1
"HD 4917 b","HD 4917","HIP 3975",1
"WASP-161 b","WASP-161",,1
"WASP-163 b","WASP-163",,1
"WASP-170 b","WASP-170",,1
"K2-285 b","K2-285",,4
"K2-285 c","K2-285",,4
"K2-285 d","K2-285",,4
"K2-285 e","K2-285",,4
"K2-286 b","K2-286",,1
"K2-287 b","K2-287",,1
"K2-288 B b","K2-288 B",,1
"HATS-60 b","HATS-60",,1
"HATS-61 b","HATS-61",,1
"HATS-62 b","HATS-62",,1
"HATS-63 b","HATS-63",,1
"HATS-64 b","HATS-64",,1
"HATS-65 b","HATS-65",,1
"HATS-66 b","HATS-66",,1
"HATS-67 b","HATS-67",,1
"HATS-68 b","HATS-68",,1
"HATS-69 b","HATS-69",,1
"HD 202696 b","HD 202696","HIP 105056",2
"HD 202696 c","HD 202696","HIP 105056",2
"K2-290 b","K2-290",,2
"Kepler-779 b","Kepler-779",,1
"K2-290 c","K2-290",,2
"K2-291 b","K2-291",,1
"GJ 4276 b","GJ 4276",,1
"LHS 3844 b","LHS 3844",,1
"HD 202772 A b","HD 202772 A",,1
"K2-292 b","K2-292",,1
"HD 20781 d","HD 20781","HIP 15526",5
"HD 20781 e","HD 20781","HIP 15526",5
"HD 45184 c","HD 45184","HIP 30503",2
"HATS-70 b","HATS-70",,1
"Kepler-499 b","Kepler-499",,1
"GJ 143 b","GJ 143","HIP 16069",2
"HD 23472 b","HD 23472","HIP 17264",5
"HD 23472 c","HD 23472","HIP 17264",5
"KMT-2016-BLG-1107L b","KMT-2016-BLG-1107L",,1
"HD 219666 b","HD 219666",,1
"HD 1397 b","HD 1397","HIP 1419",1
"GJ 411 b","GJ 411","HIP 54035",2
"WASP-190 b","WASP-190",,1
"Gl 378 b","Gl 378","HIP 49189",1
"PDS 70 b","PDS 70",,2
"Kepler-270 b","Kepler-270",,2
"KMT-2017-BLG-1038L b","KMT-2017-BLG-1038L",,1
"KMT-2017-BLG-1146L b","KMT-2017-BLG-1146L",,1
"Gl 686 b","Gl 686","HIP 86287",1
"Qatar-7 b","Qatar-7",,1
"TOI-172 b","TOI-172",,1
"K2-293 b","K2-293",,1
"K2-294 b","K2-294",,1
"GJ 685 b","GJ 685","HIP 86087",1
"HD 181234 b","HD 181234","HIP 95015",1
"HD 25015 b","HD 25015","HIP 18527",1
"HD 50499 c","HD 50499","HIP 32970",2
"HD 92788 c","HD 92788","HIP 52409",2
"HD 221416 b","HD 221416","HIP 116158",1
"WASP-177 b","WASP-177",,1
"WASP-181 b","WASP-181",,1
"WASP-183 b","WASP-183",,1
"Kepler-47 d","Kepler-47",,3
"HD 21749 c","GJ 143","HIP 16069",2
"Qatar-8 b","Qatar-8",,1
"Kepler-780 b","Kepler-780",,1
"Qatar-9 b","Qatar-9",,1
"Qatar-10 b","Qatar-10",,1
"TOI-216.02","TOI-216",,2
"TOI-216.01","TOI-216",,2
"HD 221420 b","HD 221420","HIP 116250",1
"NGTS-5 b","NGTS-5",,1
"HD 210193 b","HD 210193","HIP 109381",1
"HD 211970 b","HD 211970","HIP 110443",1
"HD 39855 b","HD 39855","HIP 27922 A",1
"HIP 35173 b","HIP 35173","HIP 35173",1
"Kepler-271 b","Kepler-271",,3
"HD 102843 b","HD 102843","HIP 57735",1
"HD 103949 b","HD 103949","HIP 58374",1
"HD 206255 b","HD 206255","HIP 107160",1
"HD 21411 b","HD 21411","HIP 16012",1
"HD 64114 b","HD 64114","HIP 38392",1
"HD 8326 b","HD 8326","HIP 6390",1
"HIP 54373 b","HIP 54373","HIP 54373",2
"HIP 54373 c","HIP 54373","HIP 54373",2
"HD 24085 b","HD 24085","HIP 17515",1
"HIP 71135 b","HIP 71135","HIP 71135",1
"Kepler-418 c","Kepler-418",,2
"HD 15337 b","HD 15337","HIP 11433",2
"HD 15337 c","HD 15337","HIP 11433",2
"NGTS-4 b","NGTS-4",,1
"K2-133 e","K2-133",,4
"K2-32 e","K2-32",,4
"EPIC 201238110 b","EPIC 201238110",,1
"EPIC 201497682 b","EPIC 201497682",,1
"EPIC 201615463 c","K2-166",,2
"EPIC 201754305 d","K2-16",,3
"EPIC 201833600 c","K2-50",,2
"EPIC 201841433 b","EPIC 201841433",,1
"EPIC 205950854 c","K2-168",,2
"EPIC 206024342 b","EPIC 206024342",,3
"EPIC 206032309 b","EPIC 206032309",,1
"EPIC 206042996 b","EPIC 206042996",,2
"EPIC 206215704 b","EPIC 206215704",,1
"EPIC 206317286 b","EPIC 206317286",,2
"EPIC 212297394 b","EPIC 212297394",,2
"EPIC 212424622 b","EPIC 212424622",,1
"EPIC 212499991 b","EPIC 212499991",,1
"Kepler-407 b","Kepler-407",,2
"EPIC 212587672 b","EPIC 212587672",,2
"EPIC 220554210 c","K2-282",,2
"L 98-59 b","L 98-59",,5
"L 98-59 c","L 98-59",,5
"L 98-59 d","L 98-59",,5
"PDS 70 c","PDS 70",,2
"K2-308 b","K2-308",,1
"Kepler-65 e","Kepler-65",,4
"HD 2685 b","HD 2685",,1
"Gl 49 b","Gl 49","HIP 4872",1
"Kepler-851 b","Kepler-851",,1
"TOI-150.01","TOI-150",,1
"KELT-23 A b","KELT-23 A",,1
"HD 180617 b","HD 180617","HIP 94761",1
"LSPM J2116+0234 b","LSPM J2116+0234",,1
"NSVS 14256825 b","NSVS 14256825",,1
"V1298 Tau b","V1298 Tau",,4
"Teegarden's Star b","Teegarden's Star",,3
"Teegarden's Star c","Teegarden's Star",,3
"WASP-87 b","WASP-87",,1
"Kepler-850 b","Kepler-850",,1
"HIP 79098 AB b","HIP 79098 AB","HIP 79098 AB",1
"Kepler-411 e","Kepler-411",,4
"DS Tuc A b","DS Tuc A","HIP 116748 A",1
"OGLE-2018-BLG-0596L b","OGLE-2018-BLG-0596L",,1
"DE CVn b","DE CVn",,1
"OGLE-2015-BLG-1670L b","OGLE-2015-BLG-1670L",,1
"EPIC 248847494 b","EPIC 248847494",,1
"EPIC 212737443 c","EPIC 212737443",,2
"KMT-2017-BLG-0165L b","KMT-2017-BLG-0165L",,1
"WASP-166 b","WASP-166",,1
"Kepler-476 b","Kepler-476",,1
"Kepler-849 b","Kepler-849",,1
"Kepler-82 f","Kepler-82",,5
"HR 858 b","HR 858","HIP 13363",3
"HR 858 c","HR 858","HIP 13363",3
"HR 858 d","HR 858","HIP 13363",3
"TOI-270 b","TOI-270",,3
"TOI-270 c","TOI-270",,3
"TOI-270 d","TOI-270",,3
"GJ 357 b","GJ 357","HIP 47103",3
"GJ 357 c","GJ 357","HIP 47103",3
"GJ 357 d","GJ 357","HIP 47103",3
"Kepler-848 b","Kepler-848",,1
"K2-43 c","K2-43",,2
"LTT 1445 A b","LTT 1445 A","HIP 14101",2
"K2-146 c","K2-146",,2
"HAT-P-69 b","HAT-P-69",,1
"HAT-P-70 b","HAT-P-70",,1
"HATS-54 b","HATS-54",,1
"HATS-55 b","HATS-55",,1
"HATS-56 b","HATS-56",,1
"HATS-57 b","HATS-57",,1
"HATS-58 A b","HATS-58 A",,1
"Kepler-1751 b","Kepler-1751",,1
"bet Pic c","bet Pic","HIP 27321",2
"HR 5183 b","HR 5183","HIP 67246",1
"OGLE-2018-BLG-0740L b","OGLE-2018-BLG-0740L",,1
"WASP-169 b","WASP-169",,1
"WASP-171 b","WASP-171",,1
"WASP-175 b","WASP-175",,1
"WASP-182 b","WASP-182",,1
"OGLE-2018-BLG-1011L b","OGLE-2018-BLG-1011L",,2
"OGLE-2018-BLG-1011L c","OGLE-2018-BLG-1011L",,2
"KMT-2016-BLG-0212L b","KMT-2016-BLG-0212L",,1
"Kepler-301 b","Kepler-301",,3
"OGLE-2016-BLG-1067L b","OGLE-2016-BLG-1067L",,1
"KELT-24 b","KELT-24","HIP 52796",1
"NGTS-6 b","NGTS-6",,1
"WASP-180 A b","WASP-180 A",,1
"GJ 15 A c","GJ 15 A","HIP 1475",2
"WASP-178 b","WASP-178",,1
"WASP-184 b","WASP-184",,1
"WASP-185 b","WASP-185",,1
"WASP-192 b","WASP-192",,1
"GJ 3512 b","GJ 3512",,2
"Kepler-300 c","Kepler-300",,2
"GJ 27.1 b","GJ 27.1","HIP 3143",1
"GJ 160.2 b","GJ 160.2","HIP 19165",1
"GJ 180 b","GJ 180","HIP 22762",3
"GJ 180 c","GJ 180","HIP 22762",3
"GJ 229 b","GJ 229","HIP 29295",2
"GJ 422 b","GJ 422","HIP 55042",1
"GJ 433 c","GJ 433","HIP 56528",3
"GJ 682 b","GJ 682","HIP 86214",2
"GJ 682 c","GJ 682","HIP 86214",2
"OGLE-2015-BLG-1649L b","OGLE-2015-BLG-1649L",,1
"Kepler-847 b","Kepler-847",,1
"V1298 Tau c","V1298 Tau",,4
"V1298 Tau d","V1298 Tau",,4
"V1298 Tau e","V1298 Tau",,4
"HD 97048 b","HD 97048","HIP 54413",1
"7 CMa c","7 CMa","HIP 31592",2
"NY Vir c","NY Vir",,2
"eps Ind A b","eps Ind A","HIP 108870",1
"LP 791-18 b","LP 791-18",,3
"LP 791-18 c","LP 791-18",,3
"TOI-163 b","TOI-163",,1
"Kepler-846 b","Kepler-846",,1
"Kepler-448 c","KOI-12",,2
"TOI-125 b","TOI-125",,3
"TOI-125 c","TOI-125",,3
"KMT-2018-BLG-1990L b","KMT-2018-BLG-1990L",,1
"MOA-bin-29 b","MOA-bin-29",,1
"HD 125390 b","HD 125390","HIP 69888",1
"NGTS-8 b","NGTS-8",,1
"NGTS-9 b","NGTS-9",,1
"HD 220197 b","HD 220197","HIP 115359",1
"HD 233832 b","HD 233832","HIP 55806",1
"Kepler-299 c","Kepler-299",,4
"Qatar-6 b","Qatar-6",,1
"PSR B0329+54 b","PSR B0329+54",,1
"Kepler-1660 AB b","Kepler-1660 A",,1
"HD 213885 b","HD 213885","HIP 111553",2
"HD 213885 c","HD 213885","HIP 111553",2
"WASP-18 c","WASP-18","HIP 7562",2
"WASP-126 c","WASP-126",,2
"XO-7 b","XO-7",,1
"USco1621 b","USco1621 A",,1
"USco1556 b","USco1556 A",,1
"DMPP-1 b","DMPP-1","HIP 27305",4
"DMPP-1 c","DMPP-1","HIP 27305",4
"DMPP-1 d","DMPP-1","HIP 27305",4
"DMPP-1 e","DMPP-1","HIP 27305",4
"DMPP-2 b","DMPP-2","HIP 8501",1
"DMPP-3 A b","DMPP-3 A","HIP 28941",1
"TOI-813 b","TOI-813",,1
"GJ 180 d","GJ 180","HIP 22762",3
"GJ 229 A c","GJ 229","HIP 29295",2
"GJ 433 d","GJ 433","HIP 56528",3
"Kepler-298 b","Kepler-298",,3
"GJ 3082 b","GJ 3082","HIP 5812",1
"GJ 1252 b","GJ 1252",,1
"EPIC 249893012 b","EPIC 249893012",,3
"EPIC 249893012 c","EPIC 249893012",,3
"EPIC 249893012 d","EPIC 249893012",,3
"L 168-9 b","L 168-9","HIP 115211",1
"TOI-125 d","TOI-125",,3
"Kepler-1661 b","Kepler-1661",,1
"TOI-132 b","TOI-132",,1
"GJ 1061 b","GJ 1061",,3
"Kepler-95 b","Kepler-95",,1
"Kepler-1750 b","Kepler-1750",,1
"GJ 1061 c","GJ 1061",,3
"GJ 1061 d","GJ 1061",,3
"HATS-47 b","HATS-47",,1
"HATS-48 A b","HATS-48 A",,1
"HATS-49 b","HATS-49",,1
"HATS-72 b","HATS-72",,1
"OGLE-2013-BLG-0911L b","OGLE-2013-BLG-0911L",,1
"KMT-2016-BLG-1836L b","KMT-2016-BLG-1836L",,1
"OGLE-2016-BLG-1227L b","OGLE-2016-BLG-1227L",,1
"NGTS-10 b","NGTS-10",,1
"Kepler-845 b","Kepler-845",,1
"MASCARA-4 b","MASCARA-4",,1
"LHS 1815 b","LHS 1815","HIP 28754",1
"TYC 8998-760-1 b","TYC 8998-760-1",,2
"TOI-1130 b","TOI-1130",,2
"TOI-1130 c","TOI-1130",,2
"HD 158259 b","HD 158259","HIP 85268",5
"HD 158259 c","HD 158259","HIP 85268",5
"HD 158259 d","HD 158259","HIP 85268",5
"HD 158259 e","HD 158259","HIP 85268",5
"HD 158259 f","HD 158259","HIP 85268",5
"Kepler-844 b","Kepler-844",,1
"CoRoT-30 b","CoRoT-30",,1
"CoRoT-31 b","CoRoT-31",,1
"TOI-677 b","TOI-677",,1
"HD 164922 d","HD 164922","HIP 88348",4
"WASP-150 b","WASP-150",,1
"WASP-176 b","WASP-176",,1
"HD 332231 b","HD 332231",,1
"Kepler-88 d","KOI-142",,3
"LTT 3780 b","LTT 3780",,2
"LTT 3780 c","LTT 3780",,2
"Kepler-297 b","Kepler-297",,3
"TOI-1235 b","TOI-1235",,1
"HD 81817 b","HD 81817","HIP 47193",2
"TOI-1338 b","TOI-1338 A",,2
"OGLE-2018-BLG-0677L b","OGLE-2018-BLG-0677L",,1
"OGLE-2015-BLG-1771L b","OGLE-2015-BLG-1771L",,1
"OGLE-2018-BLG-1700L b","OGLE-2018-BLG-1700L",,1
"KMT-2018-BLG-0029L b","KMT-2018-BLG-0029L",,1
"KMT-2018-BLG-1292L b","KMT-2018-BLG-1292L",,1
"OGLE-2012-BLG-0838L b","OGLE-2012-BLG-0838L",,1
"AU Mic b","AU Mic","HIP 102409",4
"Kepler-843 b","Kepler-843",,1
"GJ 338 B b","GJ 338 B","HIP 120005",1
"OGLE-2017-BLG-0406L b","OGLE-2017-BLG-0406L",,1
"Kepler-160 d","Kepler-160",,3
"WASP-148 b","WASP-148",,2
"WASP-148 c","WASP-148",,2
"TOI-1728 b","TOI-1728",,1
"NGTS-11 b","NGTS-11",,1
"GJ 887 b","GJ 887","HIP 114046",2
"GJ 887 c","GJ 887","HIP 114046",2
"TOI-849 b","TOI-849",,1
"Kepler-842 b","Kepler-842",,1
"Wendelstein-1 b","Wendelstein-1",,1
"Wendelstein-2 b","Wendelstein-2",,1
"HD 95338 b","HD 95338","HIP 53719",1
"HD 191939 b","HD 191939","HIP 99175",6
"HD 191939 c","HD 191939","HIP 99175",6
"HD 191939 d","HD 191939","HIP 99175",6
"TOI-700 b","TOI-700",,4
"TOI-700 c","TOI-700",,4
"TOI-700 d","TOI-700",,4
"TYC 8998-760-1 c","TYC 8998-760-1",,2
"Kepler-841 b","Kepler-841",,1
"BD-11 4672 c","BD-11 4672","HIP 90979",2
"HIP 67522 b","HIP 67522","HIP 67522",2
"TOI-1899 b","TOI-1899",,1
"HIP 65 A b","HIP 65 A","HIP 65 A",1
"TOI-157 b","TOI-157",,1
"TOI-169 b","TOI-169",,1
"K2-315 b","K2-315",,1
"HATS-37 A b","HATS-37 A",,1
"HATS-38 b","HATS-38",,1
"HD 86226 c","HD 86226","HIP 48739",2
"Kepler-296 c","Kepler-296",,5
"GJ 2056 b","GJ 2056","HIP 34785",1
"GJ 480 b","GJ 480","HIP 61706",1
"GJ 687 c","GJ 687","HIP 86162",2
"GJ 9066 c","GJ 9066",,1
"HIP 107772 b","HIP 107772","HIP 107772",1
"HIP 38594 b","HIP 38594","HIP 38594",2
"HIP 38594 c","HIP 38594","HIP 38594",2
"HIP 4845 b","HIP 4845","HIP 4845",1
"HIP 48714 b","HIP 48714","HIP 48714",1
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",,1
"KMT-2019-BLG-1339L b","KMT-2019-BLG-1339L",,1
"KMT-2019-BLG-1953L b","KMT-2019-BLG-1953L",,1
"K2-316 b","K2-316",,2
"K2-316 c","K2-316",,2
"K2-317 b","K2-317",,1
"K2-318 b","K2-318",,1
"K2-319 b","K2-319",,1
"K2-320 b","K2-320",,1
"K2-321 b","K2-321",,1
"K2-322 b","K2-322",,1
"K2-323 b","K2-323",,1
"K2-324 b","K2-324",,1
"K2-325 b","K2-325",,1
"K2-326 b","K2-326",,1
"WD 1856+534 b","WD 1856+534",,1
"LTT 9779 b","LTT 9779","HIP 117883",1
"HD 63433 b","HD 63433","HIP 38228",3
"HD 63433 c","HD 63433","HIP 38228",3
"TOI-763 b","TOI-763",,2
"Kepler-77 b","Kepler-77",,1
"TOI-763 c","TOI-763",,2
"HATS-71 b","HATS-71",,1
"TOI-824 b","TOI-824",,1
"OGLE-2018-BLG-1269L b","OGLE-2018-BLG-1269L",,1
"KMT-2018-BLG-0748L b","KMT-2018-BLG-0748L",,1
"KMT-2019-BLG-0842L b","KMT-2019-BLG-0842L",,1
"TOI-540 b","TOI-540",,1
"TOI-1266 b","TOI-1266",,3
"TOI-1266 c","TOI-1266",,3
"TOI-421 b","TOI-421",,2
"TOI-421 c","TOI-421",,2
"NGTS-12 b","NGTS-12",,1
"GJ 3473 b","GJ 3473",,2
"GJ 3473 c","GJ 3473",,2
"TOI-837 b","TOI-837",,1
"KMT-2016-BLG-2364L b","KMT-2016-BLG-2364L",,1
"KMT-2016-BLG-2397L b","KMT-2016-BLG-2397L",,1
"OGLE-2017-BLG-0604L b","OGLE-2017-BLG-0604L",,1
"OGLE-2017-BLG-1375L b","OGLE-2017-BLG-1375L",,1
"EPIC 201170410.02","EPIC 201170410",,1
"EPIC 201757695.02","EPIC 201757695",,1
"TOI-954 b","TOI-954",,1
"K2-329 b","K2-329",,1
"MOA-2013-BLG-220L b","MOA-2013-BLG-220L",,1
"TOI-481 b","TOI-481",,1
"TOI-892 b","TOI-892",,1
"TIC 237913194 b","TIC 237913194",,1
"HD 190007 b","HD 190007","HIP 98698",1
"HD 216520 b","HD 216520","HIP 112527",2
"HD 216520 c","HD 216520","HIP 112527",2
"TOI-122 b","TOI-122",,1
"TOI-237 b","TOI-237",,1
"WASP-186 b","WASP-186",,1
"WASP-187 b","WASP-187",,1
"K2-111 c","K2-111",,2
"LP 714-47 b","LP 714-47",,1
"TOI-942 b","TOI-942",,2
"TOI-942 c","TOI-942",,2
"WASP-107 c","WASP-107",,2
"TOI-251 b","TOI-251",,1
"HAT-P-68 b","HAT-P-68",,1
"TOI-776 b","TOI-776",,2
"TOI-776 c","TOI-776",,2
"TOI-561 b","TOI-561",,4
"TOI-561 c","TOI-561",,4
"TOI-561 d","TOI-561",,4
"TOI-561 e","TOI-561",,4
"HD 108236 b","HD 108236","HIP 60689",5
"HD 108236 c","HD 108236","HIP 60689",5
"TOI-1233.01","HD 108236","HIP 60689",5
"HD 108236 e","HD 108236","HIP 60689",5
"TOI-564 b","TOI-564",,1
"TOI-905 b","TOI-905",,1
"TOI-451 b","TOI-451",,3
"TOI-451 c","TOI-451",,3
"TOI-451 d","TOI-451",,3
"HD 108236 f","HD 108236","HIP 60689",5
"NGTS-13 b","NGTS-13",,1
"HD 110113 b","HD 110113","HIP 61820",2
"Kepler-295 b","Kepler-295",,3
"HD 110113 c","HD 110113","HIP 61820",2
"TOI-178 b","TOI-178",,6
"TOI-178 c","TOI-178",,6
"TOI-178 d","TOI-178",,6
"TOI-178 e","TOI-178",,6
"TOI-178 f","TOI-178",,6
"TOI-178 g","TOI-178",,6
"HD 4760 b","HD 4760","HIP 3869",1
"HD 96992 b","HD 96992","HIP 54595",1
"TYC 0434-04538-1 b","TYC 0434-04538-1",,1
"Kepler-839 b","Kepler-839",,1
"HD 183579 b","HD 183579","HIP 96160",1
"NGTS-14 A b","NGTS-14 A",,1
"HD 110082 b","HD 110082","HIP 62662",1
"K2-138 g","K2-138",,6
"TOI-628 b","TOI-628",,1
"TOI-640 b","TOI-640",,1
"TOI-1333 b","TOI-1333",,1
"TOI-1478 b","TOI-1478",,1
"TOI-1601 b","TOI-1601",,1
"GJ 251 b","GJ 251","HIP 33226",2
"HD 238090 b","HD 238090","HIP 59514",1
"GJ 486 b","GJ 486","HIP 62452",1
"GJ 414 A b","GJ 414 A","HIP 54646",2
"GJ 414 A c","GJ 414 A","HIP 54646",2
"OGLE-2018-BLG-1428L b","OGLE-2018-BLG-1428L",,1
"OGLE-2017-BLG-1049L b","OGLE-2017-BLG-1049L",,1
"GJ 740 b","GJ 740","HIP 93101",1
"TOI-201 b","TOI-201","HIP 27515",2
"HD 60292 b","HD 60292","HIP 37196",1
"Kepler-838 b","Kepler-838",,1
"HD 112640 b","HD 112640","HIP 63203",1
"TOI-519 b","TOI-519",,1
"NGTS-15 b","NGTS-15",,1
"NGTS-16 b","NGTS-16",,1
"NGTS-17 b","NGTS-17",,1
"NGTS-18 b","NGTS-18",,1
"LHS 1478 b","LHS 1478",,1
"TOI-257 b","TOI-257",,1
"HD 5278 b","HD 5278","HIP 3911",2
"HD 5278 c","HD 5278","HIP 3911",2
"Kepler-106 c","Kepler-106",,4
"Kepler-837 b","Kepler-837",,1
"HIP 56640 b","HIP 56640","HIP 56640",1
"HIP 75092 b","HIP 75092","HIP 75092",1
"HIP 90988 b","HIP 90988","HIP 90988",1
"HIP 114933 b","HIP 114933","HIP 114933",1
"TOI-269 b","TOI-269",,1
"CFHTWIR-Oph 98 b","CFHTWIR-Oph 98 A",,1
"TOI-220 b","TOI-220",,1
"TOI-1444 b","TOI-1444",,1
"Kepler-1749 b","Kepler-1749",,1
"TOI-1231 b","TOI-1231",,1
"BD+45 564 b","BD+45 564",,1
"BD+55 362 b","BD+55 362",,1
"BD+63 1405 b","BD+63 1405","HIP 88617",1
"HD 124330 b","HD 124330",,1
"HD 155193 b","HD 155193",,1
"HD 331093 b","HD 331093",,1
"HD 152843 b","HD 152843",,2
"HD 152843 c","HD 152843",,2
"HD 107148 c","HD 107148","HIP 60081",2
"HD 136925 b","HD 136925","HIP 75281",1
"HD 141004 b","HD 141004","HIP 77257",1
"HD 145675 c","14 Her","HIP 79248",2
"HD 156668 c","HD 156668","HIP 84607",2
"HD 164922 e","HD 164922","HIP 88348",4
"HD 168009 b","HD 168009","HIP 89474",1
"HD 213472 b","HD 213472","HIP 111136",1
"HD 24040 c","HD 24040","HIP 17960",2
"HD 26161 b","HD 26161","HIP 19428",1
"Kepler-836 b","Kepler-836",,1
"HD 3765 b","HD 3765","HIP 3206",1
"HD 66428 c","HD 66428","HIP 39417",2
"HD 68988 c","HD 68988","HIP 40687",2
"HD 95735 c","GJ 411","HIP 54035",2
"WASP-110 b","WASP-110",,1
"Kepler-129 d","Kepler-129",,3
"GJ 849 c","GJ 849","HIP 109388",2
"TOI-674 b","TOI-674",,1
"TOI-1685 b","TOI-1685",,1
"TOI-1260 b","TOI-1260",,3
"Kepler-835 b","Kepler-835",,1
"TOI-1260 c","TOI-1260",,3
"TOI-1634 b","TOI-1634",,2
"GJ 720 A b","GJ 720 A","HIP 91128",1
"G 264-012 b","G 264-012",,2
"G 264-012 c","G 264-012",,2
"GJ 393 b","GJ 393","HIP 51317",1
"TOI-1259 A b","TOI-1259 A",,1
"TOI-1807 b","TOI-1807","HIP 65469",1
"TOI-2076 b","TOI-2076",,4
"TOI-2076 c","TOI-2076",,4
"Kepler-834 b","Kepler-834",,1
"TOI-2076 d","TOI-2076",,4
"HAT-P-58 b","HAT-P-58",,1
"HAT-P-59 b","HAT-P-59",,1
"HAT-P-60 b","HAT-P-60",,1
"HAT-P-61 b","HAT-P-61",,1
"HAT-P-62 b","HAT-P-62",,1
"HAT-P-63 b","HAT-P-63",,1
"HAT-P-64 b","HAT-P-64",,1
"TOI-1749 b","TOI-1749",,3
"TOI-1749 c","TOI-1749",,3
"Kepler-833 b","Kepler-833",,1
"TOI-1749 d","TOI-1749",,3
"HD 27969 b","HD 27969","HIP 20753",1
"HD 80869 b","HD 80869","HIP 46022",1
"HD 95544 b","HD 95544","HIP 54203",1
"HD 109286 b","HD 109286","HIP 61298",1
"HD 115954 b","HD 115954","HIP 65042",1
"HD 211403 b","HD 211403","HIP 109876",1
"TOI-1062 b","TOI-1062",,2
"TOI-1062 c","TOI-1062",,2
"TOI-1278 b","TOI-1278",,1
"Kepler-832 b","Kepler-832",,1
"KMT-2018-BLG-1976L b","KMT-2018-BLG-1976L",,1
"KMT-2018-BLG-1996L b","KMT-2018-BLG-1996L",,1
"OGLE-2019-BLG-0954L b","OGLE-2019-BLG-0954L",,1
"KIC 8121913 b","KIC 8121913",,1
"KIC 10068024 b","KIC 10068024",,1
"KIC 5479689 b","KIC 5479689",,1
"KMT-2019-BLG-0371L b","KMT-2019-BLG-0371L",,1
"AU Mic c","AU Mic","HIP 102409",4
"TOI-2406 b","TOI-2406",,1
"TOI-532 b","TOI-532",,1
"TOI-431 b","TOI-431","HIP 26013",3
"TOI-431 c","TOI-431","HIP 26013",3
"TOI-431 d","TOI-431","HIP 26013",3
"COCONUTS-2 b","COCONUTS-2 A",,1
"TOI-2202 b","TOI-2202",,2
"TOI-2202 c","TOI-2202",,2
"L 98-59 e","L 98-59",,5
"K2-331 b","K2-331",,2
"K2-350 b","K2-350",,2
"K2-352 b","K2-352",,3
"K2-353 b","K2-353",,1
"KMT-2019-BLG-1715L b","KMT-2019-BLG-1715L",,1
"KMT-2018-BLG-1025L b","KMT-2018-BLG-1025L",,1
"TOI-1518 b","TOI-1518",,1
"TIC 172900988 b","TIC 172900988 Aa",,1
"K2-355 b","K2-355",,1
"K2-356 b","K2-356",,1
"K2-357 b","K2-357",,1
"K2-358 b","K2-358",,1
